cajero,fecha,num averias,target
T17015B1,"01/03/2016 10:09:20,000000000",4,1
T13173E1,"01/03/2016 10:11:30,000000000",1,1
T17076F1,"01/03/2016 12:34:22,000000000",1,1
T10198C1,"01/03/2016 13:23:15,000000000",1,1
T13291B1,"01/03/2016 15:42:40,000000000",5,1
T17015B1,"02/03/2016 10:58:08,000000000",5,1
T12392C1,"03/03/2016 08:58:57,000000000",0,1
T10255B1,"03/03/2016 12:35:36,000000000",2,1
T10079B1,"03/03/2016 18:11:11,001000000",1,1
T18689C1,"04/03/2016 09:03:00,000000000",2,1
T12930B1,"04/03/2016 09:44:35,000000000",1,1
T16157B1,"04/03/2016 11:03:11,000000000",1,1
T12061C1,"04/03/2016 13:06:05,000000000",1,1
T17076F1,"07/03/2016 09:20:06,000000000",2,1
T10891B1,"07/03/2016 10:41:54,000000000",2,1
T10371B1,"07/03/2016 10:44:50,000000000",4,1
T10255C1,"07/03/2016 11:35:06,000000000",1,1
T10571B1,"08/03/2016 08:49:05,000000000",1,1
T17080B1,"08/03/2016 08:59:30,000000000",3,1
T10371B1,"08/03/2016 09:02:39,000000000",5,1
T10964B1,"08/03/2016 09:06:09,000000000",3,1
T16091B1,"08/03/2016 09:17:16,000000000",2,1
T16436B1,"08/03/2016 10:15:02,000000000",1,1
T16157B1,"08/03/2016 11:53:55,000000000",2,1
T11246B1,"08/03/2016 15:11:36,000000000",1,1
T14220D1,"09/03/2016 10:26:34,000000000",1,1
T14924D1,"11/03/2016 09:03:12,000000000",0,1
T15873D1,"11/03/2016 10:41:47,000000000",1,1
T14268C1,"14/03/2016 09:20:24,000000000",1,1
T16157B1,"14/03/2016 11:58:35,000000000",3,1
T15150D1,"14/03/2016 15:08:33,000000000",2,1
T10594C1,"15/03/2016 09:23:10,000000000",2,1
T10130C1,"15/03/2016 10:44:17,000000000",2,1
T10198C1,"15/03/2016 11:05:02,000000000",3,1
T10619C1,"15/03/2016 11:25:14,000000000",2,1
T12120B1,"16/03/2016 13:59:48,000000000",2,1
T10731B1,"16/03/2016 14:39:37,000000000",2,1
T12014C1,"16/03/2016 14:48:25,000000000",2,1
T12120B1,"16/03/2016 15:22:37,000000000",3,1
T12014C1,"16/03/2016 16:38:59,000000000",3,1
T10456C1,"17/03/2016 18:11:50,000000000",1,1
T12731B1,"18/03/2016 10:29:28,000000000",1,1
T16925B1,"18/03/2016 10:56:14,000000000",1,1
T10371B1,"18/03/2016 11:14:20,000000000",6,1
T10130C1,"21/03/2016 08:26:48,000000000",2,1
T16552C1,"21/03/2016 12:35:58,000000000",1,1
T10255B1,"23/03/2016 14:58:25,000000000",4,1
T10451E1,"23/03/2016 15:02:23,000000000",1,1
T12944B1,"23/03/2016 15:17:51,000000000",1,1
T14114C1,"24/03/2016 11:08:06,000000000",1,1
T10559B1,"29/03/2016 09:19:06,000000000",2,1
T14220D1,"29/03/2016 09:55:28,000000000",2,1
T12392C1,"29/03/2016 12:07:52,000000000",4,1
T12392C1,"29/03/2016 12:09:13,000000000",4,1
T10594C1,"29/03/2016 14:59:25,000000000",3,1
T11269B1,"30/03/2016 09:20:11,000000000",1,1
T17080B1,"30/03/2016 15:28:28,000000000",2,1
T17080B1,"30/03/2016 15:29:12,000000000",3,1
T16711C1,"31/03/2016 11:42:04,000000000",1,1
T12061C1,"31/03/2016 18:56:46,000000000",2,1
T11939B1,"01/04/2016 11:56:47,000000000",1,1
T10130C1,"01/04/2016 14:09:33,000000000",3,1
T10079B1,"04/04/2016 08:06:30,000000000",0,1
T19034C1,"04/04/2016 09:26:01,000000000",1,1
T14114C1,"04/04/2016 13:46:58,000000000",2,1
T18689C1,"05/04/2016 09:07:13,000000000",1,1
T12944D1,"05/04/2016 09:56:17,000000000",1,1
T16982C1,"05/04/2016 11:14:29,000000000",1,1
T19034C1,"05/04/2016 11:17:49,000000000",2,1
T10594C1,"05/04/2016 12:57:24,000000000",3,1
T14001B1,"06/04/2016 09:14:05,000000000",1,1
T11937C1,"07/04/2016 09:54:46,000000000",4,1
T13066C1,"07/04/2016 10:20:37,000000000",1,1
T14001B1,"07/04/2016 10:36:39,000000000",2,1
T19787B1,"08/04/2016 10:08:08,000000000",1,1
T11345C1,"08/04/2016 11:09:17,000000000",1,1
T10130C1,"08/04/2016 13:05:35,000000000",4,1
